UUID,EVENT_READ,EVENT_OPEN,EVENT_CHECK_FILE_ATTRIBUTES,EVENT_CREATE_OBJECT,EVENT_CLOSE,EVENT_LOADLIBRARY,EVENT_UNLINK,EVENT_OTHER,EVENT_RENAME,EVENT_RECVFROM,EVENT_SENDTO,EVENT_CONNECT,EVENT_MODIFY_FILE_ATTRIBUTES,EVENT_BIND,EVENT_WRITE
20af227e-f1f5-38a4-9b10-32ce73657efc,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
d005ae3e-1c65-36dd-b8c7-678b3cd6c1f6,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1
19851212-0336-3565-95ba-a1a723919abe,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1
5e01e71a-2a76-39a5-a648-aa0887fecea9,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1
0231eb3b-34a7-37e4-bfe6-95b349b650e9,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1
d384c88a-6689-3aff-83a3-ee615d516f96,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
f073b406-bfd8-3303-9474-a121812e4412,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
06d99589-5cb6-35d5-884c-ecacd6e8db8a,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1
f9970ea2-d19c-3b52-b693-efafcbc95c65,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1
c1464cd1-3423-37dc-b19e-1332a3e06c92,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1
142c030d-bdb0-3b7f-8e94-a72d2834e6aa,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
323a0860-0fdf-30a3-a88e-73855477af1b,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1
02a5d163-403a-3b96-b7cd-cbbebafa137b,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1
19076fe4-7f6b-38f8-9e9c-29dc92dda8fe,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1
c7265dd5-f511-330e-9e74-81b469edba4a,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1
395265f4-4425-380f-9175-2d98d3bd4959,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
eb33964d-139b-367f-a698-286ae8e4735c,1,1,1,0,1,0,0,1,0,0,1,0,1,1,1
d72595a5-a90f-3b4e-a2c0-04532494cf24,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
c27ba9ad-fec7-3d07-a8c3-37de47909a3e,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1
